Time [s]	Whole Image
13.813	205.14
13.823	205.12
13.839	204.71
13.849	204.94
13.859	204.97
13.869	205.01
13.88	204.86
13.89	204.77
13.9	205.07
13.911	204.55
13.921	204.51
13.931	205.01
13.942	204.68
13.952	204.76
13.962	204.45
13.973	204.47
13.983	204.81
13.993	204.57
14.004	204.53
14.014	204.21
14.024	204.14
14.034	204.49
14.045	204.47
14.055	204.52
14.065	204.72
14.076	204.54
14.086	204.49
14.096	204.55
14.107	204.51
14.117	204.34
14.127	204.28
14.138	204.34
14.148	204.17
14.158	204.35
14.174	203.99
14.184	204.4
14.194	204.05
14.205	203.94
14.215	203.98
14.225	203.97
14.235	203.77
14.246	203.98
14.256	204.01
14.266	204.38
14.277	203.98
14.287	204.07
14.297	204.18
14.308	204.02
14.318	203.84
14.328	203.65
14.339	203.65
14.349	203.86
14.359	204.08
14.37	204.12
14.38	203.75
14.39	203.75
14.401	203.68
14.411	203.67
14.421	203.58
14.431	203.9
14.442	203.35
14.452	203.48
14.462	203.36
14.473	203.82
14.483	203.45
14.494	203.58
14.509	203.07
14.519	203.36
14.529	203.26
14.54	203.33
14.55	203.29
14.56	203.6
14.571	203.78
14.581	203.65
14.591	203.08
14.602	203.41
14.612	203.62
14.622	203.07
14.633	203.56
14.643	203.36
14.653	204.37
14.664	211.06
14.674	216.77
14.684	220.19
14.694	223.79
14.705	226.49
14.715	229.2
14.725	231.74
14.736	233.36
14.746	235.17
14.756	236.41
14.767	237.87
14.777	238.73
14.787	239.11
14.798	239.6
14.808	239.32
14.818	238.77
14.829	238.73
14.844	237.58
14.854	237.32
14.865	236.7
14.875	236.05
14.885	235.6
14.896	234.99
14.906	234.77
14.916	234.06
14.927	233.67
14.937	232.74
14.947	231.95
14.958	231.93
14.968	230.99
14.978	230.59
14.989	230.03
14.999	229.54
15.009	229.15
15.02	228.21
15.03	227.84
15.04	227.14
15.05	226.94
15.061	226.61
15.071	225.89
15.081	224.98
15.092	225.09
15.102	224.38
15.112	224.28
15.123	223.66
15.133	223.56
15.143	223.1
15.153	222.35
15.164	221.92
15.179	220.8
15.19	221.62
15.2	220.43
15.21	220.19
15.22	220.06
15.231	219.49
15.241	219.4
15.251	218.96
15.262	218.73
15.272	218.09
15.282	217.85
15.293	217.62
15.303	217.23
15.313	217.38
15.323	216.73
15.334	216.53
15.344	216.32
15.354	215.65
15.365	215.6
15.375	215.27
15.385	215.35
15.396	214.99
15.406	214.88
15.416	214.49
15.427	214.26
15.437	213.93
15.447	213.89
15.458	213.41
15.468	213.51
15.478	213.06
15.489	212.84
15.499	212.47
15.514	212.12
15.525	212.44
15.535	212.15
15.545	211.99
15.556	211.53
15.566	211.6
15.576	211.25
15.587	211.19
15.597	211.34
15.607	211.21
15.617	211.03
15.628	210.83
15.638	210.2
15.648	210.08
15.659	210.54
15.669	209.96
15.679	209.99
15.69	209.31
15.7	209.66
15.71	209.58
15.72	209.55
15.731	209.35
15.741	209.12
15.752	209.26
15.762	209.23
15.773	208.68
15.783	208.51
15.793	208.43
15.804	208.5
15.814	208.79
15.824	208.18
15.835	208.65
15.85	207.74
15.86	207.77
15.871	207.93
15.881	207.84
15.891	207.8
15.902	207.73
15.912	207.24
15.922	207.29
15.933	207.31
15.943	207.48
15.953	206.96
15.964	207.38
15.974	207.02
15.984	207.05
15.995	207
16.005	206.81
16.015	206.96
16.026	206.72
16.036	206.62
16.046	206.5
16.057	206.45
16.067	206.43
16.077	206.31
16.088	206.31
16.098	206.13
16.108	206.19
16.119	206.1
16.129	206.39
16.139	205.96
16.15	206.16
16.16	205.98
16.17	206.02
16.186	205.35
16.196	205.83
16.206	205.59
16.217	205.76
16.227	205.78
16.237	205.78
16.248	205.46
16.258	205.67
16.268	205.46
16.279	205.41
16.289	205.53
16.299	205.48
16.31	205.25
16.32	205.4
16.33	205.59
16.34	205.2
16.351	205.47
16.361	205.23
16.371	205.21
16.382	205
16.392	204.71
16.402	204.91
16.413	204.92
16.423	204.96
16.433	204.59
16.444	204.74
16.454	204.59
16.464	204.67
16.474	204.54
16.485	204.65
16.495	204.56
16.505	204.45
16.521	203.99
16.531	204.34
16.541	204.34
16.552	204.26
16.562	204.31
16.572	204.44
16.583	204.09
16.593	204.39
16.603	204.3
16.614	204.27
16.624	204.33
16.634	204.08
16.644	203.92
16.655	203.93
16.665	204.39
16.675	204.14
16.686	204.07
16.696	204
16.706	204.22
16.717	204.05
16.727	204.23
16.737	203.92
16.748	204.18
16.758	203.75
16.768	203.35
16.779	203.85
16.789	203.93
16.799	203.78
16.81	203.59
16.82	204.42
16.83	203.81
16.841	203.76
16.856	203.31
16.867	203.8
16.877	203.51
16.887	203.78
16.898	203.72
16.908	203.51
16.918	203.77
16.929	203.47
16.939	203.66
16.949	203.6
16.96	203.98
16.97	203.66
16.98	203.66
16.99	203.66
17.001	203.43
17.011	204.11
17.021	203.64
17.032	203.77
17.042	203.58
17.052	203.81
17.063	203.25
17.073	203.68
17.083	203.79
17.094	203.58
17.104	203.42
17.114	203.51
17.124	203.8
17.135	203.47
17.145	203.59
17.155	205.76
17.166	212.4
17.176	216.85
17.191	222.23
17.202	225.33
17.212	228.43
17.222	230.61
17.233	232.68
17.243	234.78
17.253	235.92
17.264	237.44
17.274	238.25
17.284	238.96
17.295	239.49
17.305	239.11
17.315	238.86
17.326	238.39
17.336	238.68
17.346	237.55
17.356	237.23
17.367	236.55
17.377	236.17
17.387	235.8
17.398	234.78
17.408	234.69
17.418	233.95
17.429	233.72
17.439	232.8
17.449	232.22
17.46	231.62
17.47	231.09
17.48	230.18
17.491	229.69
17.501	229.4
17.511	229.05
17.527	227.82
17.537	227.3
17.547	226.96
17.558	226.32
17.568	225.94
17.578	225.59
17.588	225
17.599	224.73
17.609	224.23
17.619	223.1
17.63	223.09
17.64	222.79
17.65	222.74
17.661	222.32
17.671	221.42
17.681	221.33
17.692	221
17.702	220.63
17.712	220.44
17.722	219.84
17.733	219.52
17.743	219.2
17.753	219.1
17.764	218.37
17.774	218.04
17.784	217.78
17.795	217.52
17.805	217.33
17.815	216.84
17.825	216.47
17.836	216.42
17.846	216.16
17.862	215.32
17.872	215.35
17.882	215.06
17.893	214.87
17.903	214.71
17.913	214.71
17.924	214.22
17.934	213.77
17.944	213.97
17.955	213.08
17.965	213.24
17.975	213.28
17.985	212.89
17.996	212.68
18.006	212.49
18.016	212.37
18.027	212.34
18.037	211.8
18.047	211.56
18.058	211.81
18.068	211.6
18.078	210.94
18.089	211.19
18.099	211.21
18.109	210.46
18.119	210.6
18.13	210.38
18.14	210.35
18.151	209.99
18.161	210.35
18.171	210.02
18.181	209.63
18.197	209.09
18.207	209.38
18.217	209.17
18.228	209.46
18.238	209.2
18.248	209.17
18.259	208.55
18.269	209.09
18.279	208.73
18.29	208.89
18.3	208.6
18.31	208.19
18.321	208.01
18.331	208.25
18.341	208.35
18.352	207.86
18.362	208.12
18.372	207.9
18.382	208.03
18.393	207.51
18.403	207.82
18.413	207.23
18.424	207.37
18.434	207.28
18.444	207.21
18.455	206.95
18.465	206.82
18.475	206.86
18.486	206.72
18.496	206.79
18.506	206.65
18.517	206.82
18.532	206.28
18.542	206.2
18.553	206.46
18.563	206.54
18.573	206.29
18.584	206.19
